#market=ZN,last=105.95,open=106.07
market,date,dow,close,poc,vah,val,vol,delta,high,low
ZN,09/04,Vie,107.50,107.56,107.56,107.48,759899,-28483,107.64,107.45
ZN,09/07,Lun,107.34,107.33,107.39,107.33,73476,-5074,107.42,107.31
ZN,09/08,Mar,107.36,107.41,107.45,107.34,894566,-30246,107.52,107.25
ZN,09/09,Mie,107.08,107.11,107.12,107.02,1251608,-35186,107.36,106.98
ZN,09/10,Jue,106.34,106.53,106.59,106.36,1534842,-40928,106.61,106.27
ZN,09/11,Vie,106.13,106.28,106.48,106.22,1252343,-26489,106.55,106.09
ZN,09/14,Lun,106.02,106.27,106.36,106.06,1652634,37844,106.38,105.84
ZN,09/15,Mar,105.90,105.92,105.95,105.89,1141162,4728,106.02,105.83
ZN,09/16,Mie,105.74,106.19,106.30,105.89,1665690,-4056,106.34,105.70
