#market=HG,last=6.58,open=6.50
market,date,dow,close,poc,vah,val,vol,delta,high,low
HG,09/04,Vie,6.66,6.68,6.69,6.67,11239,-1055,6.69,6.65
HG,09/07,Lun,6.71,6.72,6.73,6.71,5790,502,6.73,6.68
HG,09/08,Mar,6.78,6.87,6.87,6.83,19282,-1690,6.87,6.77
HG,09/09,Mie,6.87,6.84,6.88,6.82,21286,-1826,6.89,6.80
HG,09/10,Jue,6.52,6.55,6.56,6.53,29359,2465,6.59,6.51
HG,09/11,Vie,6.55,6.55,6.56,6.54,10770,-288,6.57,6.54
HG,09/14,Lun,6.40,6.37,6.39,6.36,19860,3000,6.42,6.35
HG,09/15,Mar,6.46,6.44,6.45,6.42,11851,-507,6.47,6.41
HG,09/16,Mie,6.44,6.44,6.51,6.42,16652,-1064,6.52,6.42
