#market=ZB,last=107.50,open=106.84
market,date,dow,close,poc,vah,val,vol,delta,high,low
ZB,09/04,Vie,108.66,108.81,108.88,108.72,173176,-6930,108.97,108.62
ZB,09/07,Lun,108.48,108.47,108.47,108.44,7692,-40,108.56,108.41
ZB,09/08,Mar,108.40,108.66,108.78,108.56,205655,-8125,108.95,108.31
ZB,09/09,Mie,108.15,108.12,108.19,107.78,394463,2115,108.69,107.66
ZB,09/10,Jue,106.84,107.19,107.41,107.09,403622,-1464,107.59,106.78
ZB,09/11,Vie,106.76,107.22,107.50,106.94,235636,-17028,107.53,106.72
ZB,09/14,Lun,107.02,107.06,107.28,106.62,285851,8523,107.31,106.28
ZB,09/15,Mar,106.56,106.44,106.59,106.41,224623,-345,106.72,106.31
ZB,09/16,Mie,106.80,107.03,107.25,106.94,295160,-19798,107.47,106.75
