#market=RB,last=3.49,open=3.43
market,date,dow,close,poc,vah,val,vol,delta,high,low
RB,09/04,Vie,3.21,3.18,3.22,3.17,22854,1328,3.22,3.09
RB,09/07,Lun,3.23,3.23,3.23,3.22,2309,9,3.24,3.22
RB,09/08,Mar,3.26,3.25,3.30,3.22,23221,919,3.33,3.22
RB,09/09,Mie,3.22,3.21,3.22,3.20,19811,557,3.23,3.18
RB,09/10,Jue,3.39,3.36,3.37,3.31,19657,1131,3.40,3.30
RB,09/11,Vie,3.33,3.30,3.34,3.30,15797,-481,3.37,3.30
RB,09/14,Lun,3.32,3.35,3.45,3.32,16238,-308,3.45,3.30
RB,09/15,Mar,3.46,3.47,3.47,3.43,15490,-34,3.48,3.36
RB,09/16,Mie,3.50,3.46,3.48,3.42,13025,543,3.51,3.39
