#market=SI,last=67.09,open=67.10
market,date,dow,close,poc,vah,val,vol,delta,high,low
SI,09/08,Mar,67.01,66.97,67.10,66.67,9362,-82,67.22,66.46
SI,09/09,Mie,68.68,68.00,68.68,67.74,25344,-118,68.98,67.23
SI,09/10,Jue,64.90,64.92,65.17,64.74,19256,1106,65.57,64.51
SI,09/11,Vie,65.21,65.05,65.46,64.80,13809,367,65.82,64.61
SI,09/14,Lun,64.15,63.67,64.04,63.34,13322,568,64.36,63.20
SI,09/15,Mar,63.84,63.93,63.99,63.62,8602,-246,64.44,63.58
SI,09/16,Mie,64.93,65.05,65.12,64.75,9480,392,65.39,64.62
SI,09/17,Jue,66.10,66.30,66.43,66.06,12524,-512,66.67,65.76
SI,09/18,Vie,67.15,66.90,67.03,66.66,11034,160,67.33,66.51
